theta_deg,wavelength_nm,reflectance
20.0,1575.0,0.46737
20.0,1587.5,0.45515
20.0,1600.0,0.47336
20.0,1612.5,0.48942
20.0,1625.0,0.54973
20.0,1637.5,0.59358
20.0,1650.0,0.65871
20.0,1662.5,
20.0,1675.0,
20.0,1687.5,0.843
20.0,1700.0,
20.0,1712.5,0.91407
20.0,1725.0,
20.0,1737.5,0.96148
20.0,1750.0,0.98104
20.0,1762.5,0.98718
20.0,1775.0,0.98825
20.0,1787.5,0.99436
20.0,1800.0,1.00533
25.0,1300.0,0.99744
25.0,1312.5,0.99829
25.0,1325.0,0.99573
25.0,1337.5,0.99804
25.0,1350.0,0.99922
25.0,1362.5,0.9955
25.0,1375.0,0.99236
25.0,1387.5,0.99603
25.0,1400.0,0.98473
25.0,1412.5,0.97925
25.0,1425.0,0.96363
25.0,1437.5,0.94245
25.0,1450.0,0.92934
25.0,1462.5,0.88999
25.0,1475.0,0.85434
25.0,1487.5,0.80959
25.0,1500.0,0.75083
25.0,1512.5,0.68718
25.0,1525.0,0.63145
25.0,1537.5,0.57833
25.0,1550.0,0.53027
25.0,1562.5,0.5009
25.0,1575.0,0.48414
25.0,1587.5,0.48007
25.0,1600.0,0.49556
25.0,1612.5,0.54265
25.0,1625.0,0.58812
25.0,1637.5,0.65191
25.0,1650.0,0.69516
25.0,1662.5,0.76628
25.0,1675.0,0.81204
25.0,1687.5,0.86063
25.0,1700.0,0.903
25.0,1712.5,0.93225
25.0,1725.0,0.95161
25.0,1737.5,0.96725
25.0,1750.0,0.97989
25.0,1762.5,0.99235
25.0,1775.0,0.99303
25.0,1787.5,0.99726
25.0,1800.0,0.99517
30.0,1300.0,0.99729
30.0,1312.5,0.9961
30.0,1325.0,1.0011
30.0,1337.5,0.99755
30.0,1350.0,0.99791
30.0,1362.5,0.99344
30.0,1375.0,0.99164
30.0,1387.5,0.98139
30.0,1400.0,0.98087
30.0,1412.5,0.9674
30.0,1425.0,0.95252
30.0,1437.5,0.92893
30.0,1450.0,0.88964
30.0,1462.5,0.86356
30.0,1475.0,0.82209
30.0,1487.5,0.77224
30.0,1500.0,0.71093
30.0,1512.5,0.66131
30.0,1525.0,0.60174
30.0,1537.5,0.55969
30.0,1550.0,0.52498
30.0,1562.5,0.50945
30.0,1575.0,0.50833
30.0,1587.5,0.51039
30.0,1600.0,0.53887
30.0,1612.5,
30.0,1625.0,0.62903
30.0,1637.5,0.68039
30.0,1650.0,0.74082
30.0,1662.5,0.79237
30.0,1675.0,0.84095
30.0,1687.5,0.88442
30.0,1700.0,0.90882
30.0,1712.5,0.94131
30.0,1725.0,0.95857
30.0,1737.5,0.97628
30.0,1750.0,0.98604
30.0,1762.5,0.98902
30.0,1775.0,0.98565
30.0,1787.5,0.99273
30.0,1800.0,1.00131
35.0,1300.0,0.99963
35.0,1312.5,0.99826
35.0,1325.0,0.99457
35.0,1337.5,0.99389
35.0,1350.0,0.98875
35.0,1362.5,0.98723
35.0,1375.0,0.98438
35.0,1387.5,0.97583
35.0,1400.0,0.97251
35.0,1412.5,0.95255
35.0,1425.0,0.93
35.0,1437.5,0.90012
35.0,1450.0,0.87142
35.0,1462.5,0.82899
35.0,1475.0,0.78172
35.0,1487.5,0.73465
35.0,1500.0,0.67858
35.0,1512.5,0.63173
35.0,1525.0,0.59315
35.0,1537.5,0.54948
35.0,1550.0,0.5292
35.0,1562.5,0.52842
35.0,1575.0,0.52902
35.0,1587.5,0.54728
35.0,1600.0,0.5748
35.0,1612.5,0.62236
35.0,1625.0,0.67068
35.0,1637.5,0.7123
35.0,1650.0,0.76418
35.0,1662.5,0.8195
35.0,1675.0,0.8574
35.0,1687.5,0.89492
35.0,1700.0,0.92088
35.0,1712.5,0.94841
35.0,1725.0,0.95941
35.0,1737.5,0.97671
35.0,1750.0,0.98393
35.0,1762.5,0.99584
35.0,1775.0,0.99387
35.0,1787.5,0.99709
35.0,1800.0,1.00309
40.0,1300.0,0.99977
40.0,1312.5,0.99719
40.0,1325.0,0.99351
40.0,1337.5,0.99587
40.0,1350.0,0.98216
40.0,1362.5,0.98986
40.0,1375.0,0.98248
40.0,1387.5,0.96684
40.0,1400.0,0.95117
40.0,1412.5,0.9348
40.0,1425.0,0.90665
40.0,1437.5,0.87357
40.0,1450.0,0.8422
40.0,1462.5,0.7987
40.0,1475.0,0.74294
40.0,1487.5,0.70662
40.0,1500.0,0.65126
40.0,1512.5,0.60999
40.0,1525.0,0.5795
40.0,1537.5,0.55721
40.0,1550.0,0.54259
40.0,1562.5,0.53985
40.0,1575.0,0.55209
40.0,1587.5,0.57823
40.0,1600.0,0.61391
40.0,1612.5,0.66289
40.0,1625.0,0.70428
40.0,1637.5,0.74993
40.0,1650.0,0.79864
40.0,1662.5,0.83932
40.0,1675.0,0.88256
40.0,1687.5,0.90994
40.0,1700.0,0.92811
40.0,1712.5,0.95634
40.0,1725.0,0.96899
40.0,1737.5,0.97684
40.0,1750.0,0.98432
40.0,1762.5,0.98988
40.0,1775.0,0.99503
40.0,1787.5,0.99371
40.0,1800.0,1.00037
45.0,1300.0,
45.0,1312.5,0.99704
45.0,1325.0,0.99863
45.0,1337.5,0.99236
45.0,1350.0,0.99291
45.0,1362.5,0.9815
45.0,1375.0,0.97315
45.0,1387.5,0.95862
45.0,1400.0,0.93731
45.0,1412.5,0.91763
45.0,1425.0,0.88538
45.0,1437.5,0.84895
45.0,1450.0,0.81832
45.0,1462.5,0.77101
45.0,1475.0,0.72612
45.0,1487.5,0.67956
45.0,1500.0,0.64103
45.0,1512.5,0.60675
45.0,1525.0,0.58675
45.0,1537.5,0.56675
45.0,1550.0,0.56045
45.0,1562.5,0.57055
45.0,1575.0,0.58368
45.0,1587.5,0.61218
45.0,1600.0,0.65144
45.0,1612.5,0.70169
45.0,1625.0,0.74203
45.0,1637.5,0.78586
45.0,1650.0,0.82767
45.0,1662.5,0.8654
45.0,1675.0,0.90294
45.0,1687.5,0.92289
45.0,1700.0,0.94351
45.0,1712.5,0.95756
45.0,1725.0,0.97389
45.0,1737.5,0.97736
45.0,1750.0,0.98994
45.0,1762.5,0.98995
45.0,1775.0,0.99835
45.0,1787.5,1.00394
45.0,1800.0,0.9995
50.0,1300.0,0.99581
50.0,1312.5,0.98824
50.0,1325.0,0.98701
50.0,1337.5,0.98326
50.0,1350.0,0.97701
50.0,1362.5,0.96849
50.0,1375.0,0.951
50.0,1387.5,0.94195
50.0,1400.0,0.91789
50.0,1412.5,0.89361
50.0,1425.0,0.85122
50.0,1437.5,0.82851
50.0,1450.0,0.78476
50.0,1462.5,0.73871
50.0,1475.0,0.70453
50.0,1487.5,0.6713
50.0,1500.0,0.6326
50.0,1512.5,0.60074
50.0,1525.0,0.58893
50.0,1537.5,0.58075
50.0,1550.0,0.58987
50.0,1562.5,0.59466
50.0,1575.0,0.62089
50.0,1587.5,0.64726
50.0,1600.0,0.69173
50.0,1612.5,0.73269
50.0,1625.0,0.77398
50.0,1637.5,0.80992
50.0,1650.0,0.85423
50.0,1662.5,0.88471
50.0,1675.0,0.90575
50.0,1687.5,0.92942
50.0,1700.0,0.95111
50.0,1712.5,0.96421
50.0,1725.0,0.98028
50.0,1737.5,0.9826
50.0,1750.0,0.9912
50.0,1762.5,0.99435
50.0,1775.0,0.99407
50.0,1787.5,0.99989
50.0,1800.0,0.99957
55.0,1300.0,0.99455
55.0,1312.5,0.98927
55.0,1325.0,0.98545
55.0,1337.5,0.9814
55.0,1350.0,0.97437
55.0,1362.5,0.95742
55.0,1375.0,0.94472
55.0,1387.5,0.92421
55.0,1400.0,0.89695
55.0,1412.5,0.87463
55.0,1425.0,0.83221
55.0,1437.5,0.80529
55.0,1450.0,0.76407
55.0,1462.5,0.72188
55.0,1475.0,0.68417
55.0,1487.5,0.65301
55.0,1500.0,0.62885
55.0,1512.5,0.621
55.0,1525.0,0.59705
55.0,1537.5,0.60955
55.0,1550.0,0.60378
55.0,1562.5,0.62751
55.0,1575.0,0.65124
55.0,1587.5,0.68987
55.0,1600.0,0.72782
55.0,1612.5,0.7566
55.0,1625.0,0.80029
55.0,1637.5,0.82881
55.0,1650.0,0.86449
55.0,1662.5,0.88559
55.0,1675.0,0.91789
55.0,1687.5,0.93328
55.0,1700.0,0.95767
55.0,1712.5,0.97115
55.0,1725.0,0.97527
55.0,1737.5,0.98358
55.0,1750.0,0.98686
55.0,1762.5,0.99239
55.0,1775.0,0.99779
55.0,1787.5,0.99502
55.0,1800.0,0.99862
60.0,1300.0,0.99027
60.0,1312.5,0.98512
60.0,1325.0,0.97965
60.0,1337.5,0.97118
60.0,1350.0,0.96586
60.0,1362.5,0.94546
60.0,1375.0,0.92607
60.0,1387.5,0.9061
60.0,1400.0,0.88012
60.0,1412.5,0.84557
60.0,1425.0,0.81166
60.0,1437.5,0.78155
60.0,1450.0,0.75205
60.0,1462.5,0.71292
60.0,1475.0,0.68721
60.0,1487.5,0.65712
60.0,1500.0,0.64224
60.0,1512.5,0.62623
60.0,1525.0,0.61757
60.0,1537.5,0.62966
60.0,1550.0,0.63324
60.0,1562.5,0.65943
60.0,1575.0,0.68843
60.0,1587.5,0.71307
60.0,1600.0,0.75324
60.0,1612.5,0.7837
60.0,1625.0,0.82168
60.0,1637.5,0.85057
60.0,1650.0,0.8793
60.0,1662.5,0.90925
60.0,1675.0,0.93647
60.0,1687.5,0.94646
60.0,1700.0,0.96203
60.0,1712.5,0.97292
60.0,1725.0,0.97759
60.0,1737.5,0.98149
60.0,1750.0,0.99759
60.0,1762.5,0.99442
60.0,1775.0,0.99567
60.0,1787.5,1.00035
60.0,1800.0,0.99316
65.0,1300.0,0.98085
65.0,1312.5,0.97779
65.0,1325.0,0.97713
65.0,1337.5,0.96345
65.0,1350.0,0.95353
65.0,1362.5,0.93271
65.0,1375.0,0.90652
65.0,1387.5,0.89165
65.0,1400.0,0.86681
65.0,1412.5,0.82611
65.0,1425.0,
65.0,1437.5,0.76929
65.0,1450.0,0.74014
65.0,1462.5,0.70883
65.0,1475.0,0.68563
65.0,1487.5,0.6557
65.0,1500.0,0.65487
65.0,1512.5,0.63718
65.0,1525.0,0.64626
65.0,1537.5,0.65607
65.0,1550.0,0.67178
65.0,1562.5,0.68782
65.0,1575.0,0.72077
65.0,1587.5,0.75577
65.0,1600.0,0.77401
65.0,1612.5,0.82047
65.0,1625.0,0.84328
65.0,1637.5,0.88197
65.0,1650.0,0.90043
65.0,1662.5,0.92454
65.0,1675.0,0.9442
65.0,1687.5,0.95146
65.0,1700.0,0.97021
65.0,1712.5,0.97187
65.0,1725.0,0.98043
65.0,1737.5,0.98883
65.0,1750.0,0.99115
65.0,1762.5,0.99887
65.0,1775.0,0.99472
65.0,1787.5,0.99615
65.0,1800.0,1.00298
70.0,1300.0,0.98471
70.0,1312.5,0.97786
70.0,1325.0,0.96452
70.0,1337.5,0.95706
70.0,1350.0,0.94074
70.0,1362.5,0.9199
70.0,1375.0,0.90261
70.0,1387.5,0.8778
70.0,1400.0,0.84469
70.0,1412.5,0.81647
70.0,1425.0,0.7853
70.0,1437.5,0.75465
70.0,1450.0,0.72856
70.0,1462.5,0.70624
70.0,1475.0,0.68157
70.0,1487.5,
70.0,1500.0,0.65588
70.0,1512.5,0.65551
70.0,1525.0,0.66444
70.0,1537.5,0.67919
70.0,1550.0,0.70475
70.0,1562.5,0.72397
70.0,1575.0,0.74837
70.0,1587.5,0.77115
70.0,1600.0,0.80705
70.0,1612.5,0.84019
70.0,1625.0,0.86534
70.0,1637.5,0.88229
70.0,1650.0,0.91363
70.0,1662.5,0.92828
70.0,1675.0,0.94453
70.0,1687.5,0.9527
70.0,1700.0,0.97728
70.0,1712.5,0.98344
70.0,1725.0,0.98417
70.0,1737.5,0.9943
70.0,1750.0,
70.0,1762.5,0.99973
70.0,1775.0,0.99441
70.0,1787.5,0.99748
70.0,1800.0,0.99804
